car_id,duration
105,3387
106,448
107,0
113,3238
117,852
129,701
136,549
137,4034
157,17905
167,0
170,172
175,62
554,909
694,0
754,80
874,708
1394,-64611
1434,0
1504,0
1534,604
1654,0
2098,0
2100,1617
2101,29612
2106,3868
2108,0
2118,907
2122,7565
2123,3081
2127,5475
2128,4194
2129,8959
2131,16977
2137,3948
2153,61
2157,6546
2165,0
2167,0
2169,0
2173,0
2174,8291
2176,0
2181,18481
2183,4734
2185,8382
2192,6298
2193,0
2195,2455
2196,5326
2198,244
2199,0
2202,10153
2207,8627
2208,0
2210,13784
2447,292
2641,4659
2949,2537
3201,0
3202,4408
3203,504
3205,78
3206,2553
