car_id,flights
105,167
106,68
107,59
113,149
117,117
129,79
136,52
137,26
157,600
167,113
170,115
175,94
554,113
754,55
874,68
1394,589
1504,59
1534,176
1654,59
2098,47
2100,107
2101,727
2106,292
2108,62
2118,15
2122,415
2123,35
2127,205
2128,165
2129,291
2131,757
2137,199
2153,99
2157,181
2165,32
2167,66
2169,52
2174,292
2176,66
2181,250
2183,215
2185,411
2192,274
2193,17
2195,65
2196,140
2198,101
2199,52
2202,328
2207,351
2208,436
2210,728
2447,17
2641,347
2949,227
3201,59
3202,300
3203,113
3205,59
3206,227
