car_id,flights
105,154
106,59
107,64
113,172
117,123
129,61
136,61
137,11
157,529
167,115
170,69
175,118
554,117
754,44
874,59
1394,663
1504,64
1534,178
1654,64
2098,98
2100,119
2101,788
2106,267
2108,52
2118,32
2122,422
2123,49
2127,251
2128,178
2129,243
2131,777
2137,161
2153,127
2157,191
2165,66
2167,62
2169,61
2174,278
2176,62
2181,271
2183,226
2185,403
2192,273
2193,33
2195,68
2196,212
2198,81
2199,61
2202,366
2207,318
2208,388
2210,727
2447,9
2641,340
2949,241
3201,55
3202,299
3203,117
3205,55
3206,205
