airport_duration,common_duration
121,122
731,61
671,123
61,305
305,183
183,60
244,122
244,884
488,122
244,122
754,855
373,427
183,242
680,121
793,61
123,61
366,123
122,670
305,184
1280,61
304,62
549,244
304,122
366,183
427,122
184,61
412,549
610,61
244,244
244,61
793,61
366,427
121,244
305,305
366,244
976,122
488,61
854,183
427,61
238,183
243,242
244,61
1409,61
61,365
121,60
244,122
182,393
122,244
1481,182
854,427
123,1403
365,671
244,61
123,61
121,183
426,183
183,366
915,61
732,121
854,183
366,732
60,183
122,60
202,122
1919,61
121,61
1419,61
549,61
2146,184
60,62
366,366
671,60
383,244
854,61
183,122
183,304
304,61
244,61
488,61
366,61
121,122
60,61
455,305
365,122
486,61
549,244
487,588
61,732
61,222
244,122
60,548
889,122
487,61
