car_id,dropoff_hour,dropoff_time
105,11,2007/2/20 11:36
105,11,2007/2/20 11:37
105,11,2007/2/20 11:39
105,11,2007/2/20 11:40
105,11,2007/2/20 11:42
105,11,2007/2/20 11:45
105,11,2007/2/20 11:47
105,11,2007/2/20 11:49
105,11,2007/2/20 11:53
105,12,2007/2/20 12:08
105,19,2007/2/20 19:47
105,19,2007/2/20 19:48
105,19,2007/2/20 19:49
105,19,2007/2/20 19:52
105,19,2007/2/20 19:53
105,19,2007/2/20 19:55
105,19,2007/2/20 19:57
105,20,2007/2/20 20:00
105,20,2007/2/20 20:01
105,20,2007/2/20 20:08
105,20,2007/2/20 20:09
105,20,2007/2/20 20:10
105,21,2007/2/20 21:42
105,21,2007/2/20 21:50
105,21,2007/2/20 21:51
105,21,2007/2/20 21:52
105,21,2007/2/20 21:52
105,21,2007/2/20 21:57
105,21,2007/2/20 21:58
105,21,2007/2/20 21:59
105,22,2007/2/20 22:00
105,22,2007/2/20 22:04
105,22,2007/2/20 22:05
105,22,2007/2/20 22:06
105,22,2007/2/20 22:11
105,22,2007/2/20 22:11
105,22,2007/2/20 22:14
106,14,2007/2/20 14:57
106,15,2007/2/20 15:00
106,15,2007/2/20 15:01
106,15,2007/2/20 15:02
106,15,2007/2/20 15:02
107,17,2007/2/20 17:21
107,17,2007/2/20 17:23
107,17,2007/2/20 17:24
113,10,2007/2/20 10:59
113,11,2007/2/20 11:01
113,11,2007/2/20 11:05
113,11,2007/2/20 11:16
113,11,2007/2/20 11:17
113,11,2007/2/20 11:19
113,11,2007/2/20 11:20
113,11,2007/2/20 11:25
113,11,2007/2/20 11:26
113,11,2007/2/20 11:27
113,11,2007/2/20 11:31
113,17,2007/2/20 17:58
113,18,2007/2/20 18:00
113,18,2007/2/20 18:01
113,18,2007/2/20 18:02
113,18,2007/2/20 18:02
113,18,2007/2/20 18:05
113,18,2007/2/20 18:06
113,18,2007/2/20 18:07
113,18,2007/2/20 18:08
113,18,2007/2/20 18:11
113,18,2007/2/20 18:12
